DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
21 March 2019 13:00,4979,-,All Island
21 March 2019 13:15,4923,-,All Island
21 March 2019 13:30,4864,-,All Island
21 March 2019 13:45,4871,-,All Island
21 March 2019 14:00,4882,-,All Island
21 March 2019 14:15,4887,-,All Island
21 March 2019 14:30,4879,-,All Island
21 March 2019 14:45,4866,-,All Island
21 March 2019 15:00,4895,-,All Island
21 March 2019 15:15,4930,-,All Island
21 March 2019 15:30,4933,-,All Island
21 March 2019 15:45,4952,-,All Island
21 March 2019 16:00,4976,-,All Island
21 March 2019 16:15,5047,-,All Island
21 March 2019 16:30,5083,-,All Island
21 March 2019 16:45,5150,-,All Island
21 March 2019 17:00,5227,-,All Island
21 March 2019 17:15,5262,-,All Island
21 March 2019 17:30,5287,-,All Island
21 March 2019 17:45,5290,-,All Island
21 March 2019 18:00,5274,-,All Island
21 March 2019 18:15,5290,-,All Island
21 March 2019 18:30,5323,-,All Island
21 March 2019 18:45,5403,-,All Island
21 March 2019 19:00,5536,-,All Island
21 March 2019 19:15,5560,-,All Island
21 March 2019 19:30,5569,-,All Island
21 March 2019 19:45,5524,-,All Island
21 March 2019 20:00,5439,-,All Island
21 March 2019 20:15,5369,-,All Island
21 March 2019 20:30,5307,-,All Island
21 March 2019 20:45,5213,-,All Island
21 March 2019 21:00,5084,-,All Island
21 March 2019 21:15,4952,-,All Island
21 March 2019 21:30,4839,-,All Island
21 March 2019 21:45,4749,-,All Island
21 March 2019 22:00,4625,-,All Island
21 March 2019 22:15,4533,-,All Island
21 March 2019 22:30,4417,-,All Island
21 March 2019 22:45,4284,-,All Island
21 March 2019 23:00,4206,-,All Island
21 March 2019 23:15,4131,-,All Island
21 March 2019 23:30,4017,-,All Island
21 March 2019 23:45,3905,-,All Island
22 March 2019 00:00,3842,-,All Island
22 March 2019 00:15,3766,-,All Island
22 March 2019 00:30,3693,-,All Island
22 March 2019 00:45,3587,-,All Island
22 March 2019 01:00,3537,-,All Island
22 March 2019 01:15,3511,-,All Island
22 March 2019 01:30,3452,-,All Island
22 March 2019 01:45,3407,-,All Island
22 March 2019 02:00,3377,-,All Island
22 March 2019 02:15,3356,-,All Island
22 March 2019 02:30,3299,-,All Island
22 March 2019 02:45,3265,-,All Island
22 March 2019 03:00,3236,-,All Island
22 March 2019 03:15,3222,-,All Island
22 March 2019 03:30,3214,-,All Island
22 March 2019 03:45,3192,-,All Island
22 March 2019 04:00,3193,-,All Island
22 March 2019 04:15,3196,-,All Island
22 March 2019 04:30,3219,-,All Island
22 March 2019 04:45,3216,-,All Island
22 March 2019 05:00,3226,-,All Island
22 March 2019 05:15,3305,-,All Island
22 March 2019 05:30,3343,-,All Island
22 March 2019 05:45,3412,-,All Island
22 March 2019 06:00,3514,-,All Island
22 March 2019 06:15,3658,-,All Island
22 March 2019 06:30,3750,-,All Island
22 March 2019 06:45,3907,-,All Island
22 March 2019 07:00,4125,-,All Island
22 March 2019 07:15,4421,-,All Island
22 March 2019 07:30,4606,-,All Island
